27_124992_000000_000000	1:2.	one to two.	false	61.905	72.78	17.276249
27_124992_000094_000001	And it came to pass, when Achior had ceased to speak these words, all the great men of Holofernes were angry, and they had a mind to kill him, saying to each other:	And it came to pass, when Achior had ceased to speak these words, all the great men of Holofernes were angry, and they had a mind to kill him, saying to each other:	false	1034.67	1045.59	21.7384
27_124992_000095_000000	5:27.	five twenty seven.	false	1045.59	1046.41	-20
27_124992_000095_000001	Who is this, that saith the children of Israel can resist king Nabuchodonosor, and his armies, men unarmed, and without force, and without skill in the art of war?	Who is this, that saith the children of Israel can resist king Nabuchodonosor, and his armies, men unarmed, and without force, and without skill in the art of war?	false	1046.41	1057.8	19
27_124992_000096_000000	5:28.	five twenty eight.	false	1057.8	1058.61	-9
27_124992_000096_000001	That Achior therefore may know that he deceiveth us, let us go up into the mountains: and when the bravest of them shall be taken, then shall he with them be stabbed with the sword,	That Achior therefore may know that he deceiveth us, let us go up into the mountains: and when the bravest of them shall be taken, then shall he with them be stabbed with the sword,	false	1058.61	1070.13	21.700432
27_124992_000097_000000	5:29.	five twenty nine.	false	1070.13	1070.4	-20
27_124992_000097_000001	That every nation may know that Nabuchodonosor is god of the earth, and besides him there is no other.	That every nation may know that Nabuchodonosor is god of the earth, and besides him there is no other.	false	1070.4	1078.18	19.577917
27_124992_000098_000000	Judith Chapter 6	Judith Chapter six	true	1079.78	1082.07	24.405565
27_124992_000099_000000	Holofernes in great rage sendeth Achior to Bethulia, there to be slain with the Israelites.	Holofernes in great rage sendeth Achior to Bethulia, there to be slain with the Israelites.	false	1082.07	1089.72	20.210073
27_124992_000100_000000	6:1.	six to one.	false	1089.72	1091.67	-20
27_124992_000100_000001	And it came to pass when they had left off speaking, that Holofernes being in a violent passion, said to Achior:	And it came to pass when they had left off speaking, that Holofernes being in a violent passion, said to Achior:	false	1091.67	1099.71	21.578787
27_124992_000101_000000	6:2.	six to two.	false	1099.71	1101.57	-20
27_124992_000101_000001	Because thou hast prophesied unto us, saying: That the nation of Israel is defended by their God, to shew thee that there is no God, but Nabuchodonosor:	Because thou hast prophesied unto us, saying: That the nation of Israel is defended by their God, to shew thee that there is no God, but Nabuchodonosor:	true	1101.57	1111.5	19
27_124992_000102_000000	6:3.	six to three.	false	1111.5	1112.51	18.773176
27_124992_000102_000001	When we shall slay them all as one man, then thou also shalt die with them by the sword of the Assyrians, and all Israel shall perish with thee:	When we shall slay them all as one man, then thou also shalt die with them by the sword of the Assyrians, and all Israel shall perish with thee:	true	1112.51	1122.42	18
27_124992_000103_000000	6:4.	six to four.	false	1122.42	1123.07	-20
27_124992_000103_000001	And thou shalt find that Nabuchodonosor is lord of the whole earth: and then the sword of my soldiers shall pass through thy sides, and thou shalt be stabbed and fall among the wounded of Israel, and thou shalt breathe no more till thou be destroyed with them.	And thou shalt find that Nabuchodonosor is lord of the whole earth: and then the sword of my soldiers shall pass through thy sides, and thou shalt be stabbed and fall among the wounded of Israel, and thou shalt breathe no more till thou be destroyed with them.	false	1123.07	1140.96	20.38197
27_124992_000104_000000	6:5.	six to five.	false	1140.96	1141.68	-8
27_124992_000104_000001	But if thou think thy prophecy true, let not thy countenance sink, and let the paleness that is in thy face, depart from thee, if thou imaginest these my words cannot be accomplished.	But if thou think thy prophecy true, let not thy countenance sink, and let the paleness that is in thy face, depart from thee, if thou imaginest these my words cannot be accomplished.	false	1141.68	1154.55	21.930798
27_124992_000105_000000	6:6.	six to six.	false	1154.55	1155.38	-20
27_124992_000105_000001	And that thou mayst know that thou shalt experience these things together with them, behold from this hour thou shalt be associated to their people, that when they shall receive the punishment they deserve from my sword, thou mayst fall under the same vengeance.	And that thou mayst know that thou shalt experience these things together with them, behold from this hour thou shalt be associated to their people, that when they shall receive the punishment they deserve from my sword, thou mayst fall under the same vengeance.	true	1155.38	1172.25	20
27_124992_000106_000000	6:7.	six to seven.	false	1172.25	1173.39	-20
27_124992_000106_000001	Then Holofernes commanded his servants to take Achior, and to lead him to Bethulia, and to deliver him into the hands of the children of Israel.	Then Holofernes commanded his servants to take Achior, and to lead him to Bethulia, and to deliver him into the hands of the children of Israel.	false	1173.39	1182.69	19
27_124992_000107_000000	6:8.	six to eight.	false	1182.69	1183.59	-20
27_124992_000107_000001	And the servants of Holofernes taking him, went through the plains: but when they came near the mountains, the slingers came out against them.	And the servants of Holofernes taking him, went through the plains: but when they came near the mountains, the slingers came out against them.	true	1183.59	1191.87	18
27_124992_000108_000000	6:9.	six to nine.	false	1191.87	1192.56	-20
27_124992_000108_000001	Then turning out of the way by the side of the mountain, they tied Achior to a tree hand and foot, and so left him bound with ropes, and returned to their master.	Then turning out of the way by the side of the mountain, they tied Achior to a tree hand and foot, and so left him bound with ropes, and returned to their master.	false	1192.56	1202.52	19
27_124992_000109_000000	6:10.	six ten.	false	1202.52	1203.63	-20
27_124992_000109_000001	And the children of Israel coming down from Bethulia, came to him, and loosing him they brought him to Bethulia, and setting him in the midst of the people, asked him what was the matter that the Assyrians had left him bound.	And the children of Israel coming down from Bethulia, came to him, and loosing him they brought him to Bethulia, and setting him in the midst of the people, asked him what was the matter that the Assyrians had left him bound.	false	1203.63	1217.82	20.831823
27_124992_000110_000000	6:11.	six eleven.	false	1217.82	1218.84	-20
27_124992_000110_000001	In those days the rulers there, were Ozias the son of Micha of the tribe of Simeon, and Charmi, called also Gothoniel.	In those days the rulers there, were Ozias the son of Micha of the tribe of Simeon, and Charmi, called also Gothoniel.	false	1218.84	1228.77	20.881855
27_124992_000111_000000	6:12.	six twelve.	false	1228.77	1229.82	-20
27_124992_000111_000001	And Achior related in the midst of the ancients, and in the presence of all the people, all that he had said being asked by Holofernes: and how the people of Holofernes would have killed him for this word,	And Achior related in the midst of the ancients, and in the presence of all the people, all that he had said being asked by Holofernes: and how the people of Holofernes would have killed him for this word,	false	1229.82	1242.57	19
27_124992_000112_000000	6:13.	six thirteen.	false	1242.57	1243.05	-20
27_124992_000112_000001	And how Holofernes himself being angry had commanded him to be delivered for this cause to the Israelites: that when he should overcome the children of Israel, then he might command Achior also himself to be put to death by diverse torments, for having said: The God of heaven is their defender.	And how Holofernes himself being angry had commanded him to be delivered for this cause to the Israelites: that when he should overcome the children of Israel, then he might command Achior also himself to be put to death by diverse torments, for having said: The God of heaven is their defender.	false	1243.05	1262.73	20
27_124992_000113_000000	6:14.	six fourteen.	false	1262.73	1263.93	-20
27_124992_000113_000001	And when Achior had declared all these things, all the people fell upon their faces, adoring the Lord, and all of them together mourning and weeping poured out their prayers with one accord to the Lord,	And when Achior had declared all these things, all the people fell upon their faces, adoring the Lord, and all of them together mourning and weeping poured out their prayers with one accord to the Lord,	false	1263.93	1277.37	20
27_124992_000114_000000	6:15.	six fifteen.	false	1277.37	1277.55	-20
27_124992_000114_000001	Saying: O Lord God of heaven and earth, behold their pride, and look on our low condition, and have regard to the face of thy saints, and shew that thou forsakest not them that trust on thee, and that thou humblest them that presume of themselves, and glory in their own strength.	Saying: O Lord God of heaven and earth, behold their pride, and look on our low condition, and have regard to the face of thy saints, and shew that thou forsakest not them that trust on thee, and that thou humblest them that presume of themselves, and glory in their own strength.	false	1277.55	1297.95	20.62447
27_124992_000115_000000	6:16.	six sixteen.	false	1297.95	1298.88	-20
27_124992_000115_000001	So when their weeping was ended, and the people's prayer, in which they continued all the day, was concluded, they comforted Achior,	So when their weeping was ended, and the people's prayer, in which they continued all the day, was concluded, they comforted Achior,	false	1298.88	1306.59	20
27_124992_000116_000000	6:17.	six seventeen.	false	1306.59	1307.01	9
27_124992_000116_000001	Saying: The God of our fathers, whose power thou hast set forth, will make this return to thee, that thou rather shalt see their destruction.	Saying: The God of our fathers, whose power thou hast set forth, will make this return to thee, that thou rather shalt see their destruction.	true	1307.01	1316.1	20.328064
27_124992_000117_000000	6:18.	six eighteen.	false	1316.1	1317.33	-20
27_124992_000117_000001	And when the Lord our God shall give this liberty to his servants, let God be with thee also in the midst of us: that as it shall please thee, so thou with all thine mayst converse with us.	And when the Lord our God shall give this liberty to his servants, let God be with thee also in the midst of us: that as it shall please thee, so thou with all thine mayst converse with us.	true	1317.33	1330.89	20.59936
27_124992_000118_000000	6:19.	six nineteen.	false	1330.89	1332.33	-5
27_124992_000118_000001	Then Ozias, after the assembly was broken up, received him into his house, and made him a great supper.	Then Ozias, after the assembly was broken up, received him into his house, and made him a great supper.	false	1332.33	1339.98	20.457952
27_124992_000119_000000	6:20.	six twenty.	false	1339.98	1340.34	-20
27_124992_000119_000001	And all the ancients were invited, and they refreshed themselves together after their fast was over.	And all the ancients were invited, and they refreshed themselves together after their fast was over.	true	1340.34	1346.43	19.986912
27_124992_000120_000000	6:21.	six twenty one.	false	1346.43	1347.43	-20
27_124992_000120_000001	And afterwards all the people were called together, and they prayed all the night long within the church, desiring help of the God of Israel.	And afterwards all the people were called together, and they prayed all the night long within the church, desiring help of the God of Israel.	false	1347.43	1362.54	21.113285
27_124992_000121_000000	The church...	The church...	true	1362.54	1363.42	27.488695
27_124992_000121_000001	That is, the synagogue or place where they met for prayer.	That is, the synagogue or place where they met for prayer.	true	1364.3	1368.22	21.400034
27_124992_000122_000000	Judith Chapter 7	Judith Chapter seven	true	1369.97	1372.03	22.115353
27_124992_000123_000000	Holofernes besiegeth Bethulia.	Holofernes besiegeth Bethulia.	false	1372.67	1375.45	19.116528
27_124992_000123_000001	The distress of the besieged.	The distress of the besieged.	true	1375.52	1377.6	21.458405
27_124992_000124_000000	7:1.	seven to one.	false	1377.6	1379.37	-20
27_124992_000124_000001	But Holofernes on the next day gave orders to his army, to go up against Bethulia.	But Holofernes on the next day gave orders to his army, to go up against Bethulia.	false	1379.37	1385.55	22.108593
27_124992_000125_000000	7:2.	seven to two.	false	1385.55	1386.33	-20
27_124992_000125_000001	Now there were in his troops a hundred and twenty thousand footmen, and two and twenty thousand horsemen, besides the preparations of those men who had been taken, and who had been brought away out of the provinces and cities of all the youth.	Now there were in his troops a hundred and twenty thousand footmen, and two and twenty thousand horsemen, besides the preparations of those men who had been taken, and who had been brought away out of the provinces and cities of all the youth.	true	1386.33	1402.05	21.146963
27_124992_000126_000000	7:3.	seven to three.	false	1402.05	1402.83	-20
27_124992_000126_000001	All these prepared themselves together to fight against the children of Israel, and they came by the hillside to the top, which looketh toward Dothain, from the place which is called Belma, unto Chelmon, which is over against Esdrelon.	All these prepared themselves together to fight against the children of Israel, and they came by the hillside to the top, which looketh toward Dothain, from the place which is called Belma, unto Chelmon, which is over against Esdrelon.	true	1402.83	1418.61	22.067532
27_124992_000127_000000	7:4.	seven to four.	false	1418.61	1419.93	14.662801
27_124992_000127_000001	But the children of Israel, when they saw the multitude of them, prostrated themselves upon the ground, putting ashes upon their heads, praying with one accord, that the God of Israel would shew his mercy upon his people.	But the children of Israel, when they saw the multitude of them, prostrated themselves upon the ground, putting ashes upon their heads, praying with one accord, that the God of Israel would shew his mercy upon his people.	true	1419.93	1433.94	21.586601
27_124992_000128_000000	7:5.	seven to five.	false	1433.94	1434.48	-1
27_124992_000128_000001	And taking their arms of war, they posted themselves at the places, which by a narrow pathway lead directly between the mountains, and they guarded them all day and night.	And taking their arms of war, they posted themselves at the places, which by a narrow pathway lead directly between the mountains, and they guarded them all day and night.	true	1434.48	1445.82	23.354122
27_124992_000129_000000	7:6.	seven to six.	false	1445.82	1447.05	-20
27_124992_000129_000001	Now Holofernes, in going round about, found that the fountain which supplied them with water, ran through an aqueduct without the city on the south side: and he commanded their aqueduct to be cut off.	Now Holofernes, in going round about, found that the fountain which supplied them with water, ran through an aqueduct without the city on the south side: and he commanded their aqueduct to be cut off.	false	1447.05	1460.28	22.281183
27_124992_000130_000000	7:7.	seven to seven.	false	1460.28	1461.15	-20
27_124992_000130_000001	Nevertheless there were springs not far from the walls, out of which they were seen secretly to draw water, to refresh themselves a little rather than to drink their fill.	Nevertheless there were springs not far from the walls, out of which they were seen secretly to draw water, to refresh themselves a little rather than to drink their fill.	true	1461.15	1471.83	21.017979
27_124992_000131_000000	7:8.	seven to eight.	false	1471.83	1472.61	-20
27_124992_000131_000001	But the children of Ammon and Moab came to Holofernes, saying: The children of Israel trust not in their spears, nor in their arrows, but the mountains are their defence, and the steep hills and precipices guard them.	But the children of Ammon and Moab came to Holofernes, saying: The children of Israel trust not in their spears, nor in their arrows, but the mountains are their defence, and the steep hills and precipices guard them.	false	1472.61	1486.8	21
27_124992_000132_000000	7:9.	seven to nine.	false	1486.8	1487.4	-20
27_124992_000132_000001	Wherefore that thou mayst overcome them without joining battle, set guards at the springs that they may not draw water out of them, and thou shalt destroy them without sword, or at least being wearied out they will yield up their city, which they suppose, because it is situate in the mountains, to be impregnable.	Wherefore that thou mayst overcome them without joining battle, set guards at the springs that they may not draw water out of them, and thou shalt destroy them without sword, or at least being wearied out they will yield up their city, which they suppose, because it is situate in the mountains, to be impregnable.	false	1487.4	1507.47	21.963823
27_124992_000133_000000	7:10.	seven ten.	false	1507.47	1508.61	-20
27_124992_000133_000001	And these words pleased Holofernes, and his officers, and he placed all round about a hundred men at every spring.	And these words pleased Holofernes, and his officers, and he placed all round about a hundred men at every spring.	false	1508.61	1515.96	19
27_124992_000134_000000	7:11.	seven eleven.	false	1515.96	1516.71	-20
27_124992_000134_000001	And when they had kept this watch for full twenty days, the cisterns, and the reserve of waters failed among all the inhabitants of Bethulia, so that there was not within the city, enough to satisfy them, no not for one day, for water was daily given out to the people by measure.	And when they had kept this watch for full twenty days, the cisterns, and the reserve of waters failed among all the inhabitants of Bethulia, so that there was not within the city, enough to satisfy them, no not for one day, for water was daily given out to the people by measure.	false	1516.71	1535.97	21.415071
27_124992_000135_000000	7:12.	seven twelve.	false	1535.97	1536.57	-20
27_124992_000135_000001	Then all the men and women, young men, and children, gathering themselves together to Ozias, all together with one voice,	Then all the men and women, young men, and children, gathering themselves together to Ozias, all together with one voice,	false	1536.57	1544.67	18
27_124992_000136_000000	7:13.	seven thirteen.	false	1544.67	1544.76	-20
27_124992_000136_000001	Said: God be judge between us and thee, for thou hast done evil against us, in that thou wouldst not speak peaceably with the Assyrians, and for this cause God hath sold us into their hands.	Said: God be judge between us and thee, for thou hast done evil against us, in that thou wouldst not speak peaceably with the Assyrians, and for this cause God hath sold us into their hands.	false	1544.76	1558.77	20.591188
27_124992_000137_000000	7:14.	seven fourteen.	false	1558.77	1559.4	-20
27_124992_000137_000001	And therefore there is no one to help us, while we are cast down before their eyes in thirst, and sad destruction.	And therefore there is no one to help us, while we are cast down before their eyes in thirst, and sad destruction.	true	1559.4	1566.6	18
27_124992_000138_000000	7:15.	seven fifteen.	false	1566.6	1567.23	-5
27_124992_000138_000001	And now assemble ye all that are in the city, that we may of our own accord yield ourselves all up to the people of Holofernes.	And now assemble ye all that are in the city, that we may of our own accord yield ourselves all up to the people of Holofernes.	false	1567.23	1575.09	17
27_124992_000139_000000	7:16.	seven sixteen.	false	1575.09	1576.29	23.775805
27_124992_000139_000001	For it is better, that being captives we should live and bless the Lord, than that we should die, and be a reproach to all flesh, after we have seen our wives and our infants die before our eyes.	For it is better, that being captives we should live and bless the Lord, than that we should die, and be a reproach to all flesh, after we have seen our wives and our infants die before our eyes.	false	1576.29	1588.2	17
27_124992_000140_000000	7:17.	seven seventeen.	false	1588.2	1588.8	-20
27_124992_000140_000001	We call to witness this day heaven and earth, and the God of our fathers, who taketh vengeance upon us according to our sins, conjuring you to deliver now the city into the hand of the army of Holofernes, that our end may be short by the edge of the sword, which is made longer by the drought of thirst.	We call to witness this day heaven and earth, and the God of our fathers, who taketh vengeance upon us according to our sins, conjuring you to deliver now the city into the hand of the army of Holofernes, that our end may be short by the edge of the sword, which is made longer by the drought of thirst.	false	1588.8	1608.09	19
27_124992_000141_000000	7:18.	seven eighteen.	false	1608.09	1609.47	-20
27_124992_000141_000001	And when they had said these things, there was great weeping and lamentation of all in the assembly, and for many hours with one voice they cried to God, saying:	And when they had said these things, there was great weeping and lamentation of all in the assembly, and for many hours with one voice they cried to God, saying:	true	1609.47	1619.31	16
27_124992_000142_000000	7:19.	seven nineteen.	false	1619.31	1620.15	-20
27_124992_000142_000001	We have sinned with our fathers, we have done unjustly, we have committed iniquity:	We have sinned with our fathers, we have done unjustly, we have committed iniquity:	true	1620.15	1625.49	20.75787
27_124992_000143_000000	7:20.	seven twenty.	false	1625.49	1626.33	-8
27_124992_000143_000001	Have thou mercy on us, because thou art good, or punish our iniquities by chastising us thyself, and deliver not them that trust in thee to a people that knoweth not thee,	Have thou mercy on us, because thou art good, or punish our iniquities by chastising us thyself, and deliver not them that trust in thee to a people that knoweth not thee,	false	1626.33	1638.54	20
27_124992_000144_000000	7:21.	seven twenty one.	false	1638.54	1639.5	-20
27_124992_000144_000001	That they may not say among the Gentiles: Where is their God?	That they may not say among the Gentiles: Where is their God?	true	1639.5	1643.7	21
27_124992_000145_000000	7:22.	seven twenty two.	false	1643.7	1644.12	-20
27_124992_000145_000001	And when being wearied with these cries, and tired with these weepings, they held their peace,	And when being wearied with these cries, and tired with these weepings, they held their peace,	true	1644.12	1649.88	17
27_124992_000146_000000	7:23.	seven twenty three.	false	1649.88	1651.41	100
27_124992_000146_000001	Ozias rising up all in tears, said: Be of good courage, my brethren, and let us wait these five days for mercy from the Lord.	Ozias rising up all in tears, said: Be of good courage, my brethren, and let us wait these five days for mercy from the Lord.	false	1651.41	1660.98	22.06927
27_124992_000147_000000	7:24.	seven twenty four.	false	1660.98	1661.27	-20
27_124992_000147_000001	For perhaps he will put a stop to his indignation, and will give glory to his own name.	For perhaps he will put a stop to his indignation, and will give glory to his own name.	true	1661.27	1666.8	22.096174
27_124992_000148_000000	7:25.	seven twenty five.	false	1666.8	1667.43	-20
27_124992_000148_000001	But if after five days be past there come no aid, we will do the things which you have spoken.	But if after five days be past there come no aid, we will do the things which you have spoken.	true	1667.43	1673.71	21
27_124992_000149_000000	Judith Chapter 8	Judith Chapter eight	true	1675.4	1677.4	22.152678
27_124992_000150_000000	The character of Judith: her discourse to the ancients.	The character of Judith: her discourse to the ancients.	true	1678.1	1681.71	23
27_124992_000151_000000	8:1.	eight to one.	false	1681.71	1683.66	-20
27_124992_000151_000001	Now it came to pass, when Judith a widow had heard these words, who was the daughter of Merari, the son of Idox, the son of Joseph, the son of Ozias, the son of Elai, the son of Jamnor, the son of Gedeon, the son of Raphaim, the son of Achitob, the son of Melchias, the son of Enan, the son of Nathanias, the son of Salathiel, the son of Simeon, the son of Ruben:	Now it came to pass, when Judith a widow had heard these words, who was the daughter of Merari, the son of Idox, the son of Joseph, the son of Ozias, the son of Elai, the son of Jamnor, the son of Gedeon, the son of Raphaim, the son of Achitob, the son of Melchias, the son of Enan, the son of Nathanias, the son of Salathiel, the son of Simeon, the son of Ruben:	false	1683.66	1714.71	20.423107
27_124992_000152_000000	Simeon the son of Ruben...	Simeon the son of Ruben...	false	1714.71	1714.8	-20
27_124992_000152_000001	In the Greek, it is the son of Israel.	In the Greek, it is the son of Israel.	false	1714.8	1714.98	-20
27_124992_000152_000002	For Simeon the patriarch, from whom Judith descended, was not the son, but the brother of Ruben.	For Simeon the patriarch, from whom Judith descended, was not the son, but the brother of Ruben.	false	1714.98	1715.37	-20
27_124992_000152_000003	It seems more probable that the Simeon and the Ruben here mentioned are not the patriarchs: but two of the descendants of the patriarch Simeon: and that the genealogy of Judith, recorded in this place, is not carried up so high as the patriarchs.	It seems more probable that the Simeon and the Ruben here mentioned are not the patriarchs: but two of the descendants of the patriarch Simeon: and that the genealogy of Judith, recorded in this place, is not carried up so high as the patriarchs.	false	1715.37	1715.67	62
27_124992_000152_000004	No more than that of Elcana the father of Samuel, 1 Kings 1.1, and that of king Saul, 1 Kings 9.1.	No more than that of Elcana the father of Samuel, first kings one point one, and that of king Saul, first kings nine point one.	false	1715.67	1715.67	
27_124992_000153_000000	8:2.	eight to two.	false	1715.67	1715.67	
27_124992_000153_000001	And her husband was Manasses, who died in the time of the barley harvest:	And her husband was Manasses, who died in the time of the barley harvest:	false	1715.67	1720.35	18
27_124992_000154_000000	8:3.	eight to three.	false	1720.35	1721.4	-2
27_124992_000154_000001	For he was standing over them that bound sheaves in the field; and the heat came upon his head, and he died in Bethulia his own city, and was buried there with his fathers.	For he was standing over them that bound sheaves in the field; and the heat came upon his head, and he died in Bethulia his own city, and was buried there with his fathers.	true	1721.4	1732.44	19
27_124992_000155_000000	8:4.	eight to four.	false	1732.44	1733.62	-20
27_124992_000155_000001	And Judith his relict was a widow now three years and six months.	And Judith his relict was a widow now three years and six months.	true	1733.62	1738.56	17
27_124992_000156_000000	8:5.	eight to five.	false	1738.56	1739.7	-9
27_124992_000156_000001	And she made herself a private chamber in the upper part of her house, in which she abode shut up with her maids.	And she made herself a private chamber in the upper part of her house, in which she abode shut up with her maids.	false	1739.7	1746.96	20.683252
27_124992_000157_000000	8:6.	eight to six.	false	1746.96	1747.77	-9
27_124992_000157_000001	And she wore haircloth upon her loins, and fasted all the days of her life, except the sabbaths, and new moons, and the feasts of the house of Israel.	And she wore haircloth upon her loins, and fasted all the days of her life, except the sabbaths, and new moons, and the feasts of the house of Israel.	true	1747.77	1758.72	19.795904
27_124992_000158_000000	8:7.	eight to seven.	false	1758.72	1759.08	-20
27_124992_000158_000001	And she was exceedingly beautiful, and her husband left her great riches, and very many servants, and large possessions of herds of oxen, and flocks of sheep.	And she was exceedingly beautiful, and her husband left her great riches, and very many servants, and large possessions of herds of oxen, and flocks of sheep.	true	1759.08	1770.09	20.505497
27_124992_000159_000000	8:8.	eight to eight.	false	1770.09	1770.6	-20
27_124992_000159_000001	And she was greatly renowned among all, because she feared the Lord very much, neither was there any one that spoke an ill word of her.	And she was greatly renowned among all, because she feared the Lord very much, neither was there any one that spoke an ill word of her.	false	1770.6	1779.48	19
27_124992_000160_000000	8:9.	eight to nine.	false	1779.48	1780.56	-20
27_124992_000160_000001	When therefore she had heard that Ozias had promised that he would deliver up the city after the fifth day, she sent to the ancients Chabri and Charmi.	When therefore she had heard that Ozias had promised that he would deliver up the city after the fifth day, she sent to the ancients Chabri and Charmi.	false	1780.56	1789.86	20
27_124992_000161_000000	8:10.	eight ten.	false	1789.86	1790.34	16
27_124992_000161_000001	And they came to her, and she said to them: What is this word, by which Ozias hath consented to give up the city to the Assyrians, if within five days there come no aid to us?	And they came to her, and she said to them: What is this word, by which Ozias hath consented to give up the city to the Assyrians, if within five days there come no aid to us?	false	1790.34	1802.94	20.9004
27_124992_000162_000000	8:11.	eight eleven.	false	1802.94	1803.84	-20
27_124992_000162_000001	And who are you that tempt the Lord?	And who are you that tempt the Lord?	true	1803.84	1805.85	18
27_124992_000163_000000	8:12.	eight twelve.	false	1805.85	1806.39	-20
27_124992_000163_000001	This is not a word that may draw down mercy, but rather that may stir up wrath, and enkindle indignation.	This is not a word that may draw down mercy, but rather that may stir up wrath, and enkindle indignation.	true	1806.39	1814.52	20
27_124992_000164_000000	8:13.	eight thirteen.	false	1814.52	1815.27	-20
27_124992_000164_000001	You have set a time for the mercy of the Lord, and you have appointed him a day, according to your pleasure.	You have set a time for the mercy of the Lord, and you have appointed him a day, according to your pleasure.	true	1815.27	1821.39	18
27_124992_000165_000000	8:14.	eight fourteen.	false	1821.39	1821.96	-20
27_124992_000165_000001	But forasmuch as the Lord is patient, let us be penitent for this same thing, and with many tears let us beg his pardon:	But forasmuch as the Lord is patient, let us be penitent for this same thing, and with many tears let us beg his pardon:	false	1821.96	1830.48	21.364609
27_124992_000166_000000	8:15.	eight fifteen.	false	1830.48	1831.08	-3
27_124992_000166_000001	For God will not threaten like man, nor be inflamed to anger like the son of man.	For God will not threaten like man, nor be inflamed to anger like the son of man.	true	1831.08	1836.36	16
27_124992_000167_000000	8:16.	eight sixteen.	false	1836.36	1836.99	-20
27_124992_000167_000001	And therefore let us humble our souls before him, and continuing in an humble spirit, in his service:	And therefore let us humble our souls before him, and continuing in an humble spirit, in his service:	true	1836.99	1844.04	15
27_124992_000168_000000	8:17.	eight seventeen.	false	1844.04	1844.94	-20
27_124992_000168_000001	Let us ask the Lord with tears, that according to his will so he would shew his mercy to us: that as our heart is troubled by their pride, so also we may glorify in our humility.	Let us ask the Lord with tears, that according to his will so he would shew his mercy to us: that as our heart is troubled by their pride, so also we may glorify in our humility.	true	1844.94	1857.99	19
27_124992_000169_000000	8:18.	eight eighteen.	false	1857.99	1858.86	-8
27_124992_000169_000001	For we have not followed the sins of our fathers, who forsook their God, and worshipped strange gods.	For we have not followed the sins of our fathers, who forsook their God, and worshipped strange gods.	true	1858.86	1864.83	17
27_124992_000170_000000	8:19.	eight nineteen.	false	1864.83	1865.43	-20
27_124992_000170_000001	For which crime they were given up to their enemies, to the sword, and to pillage, and to confusion: but we know no other God but him.	For which crime they were given up to their enemies, to the sword, and to pillage, and to confusion: but we know no other God but him.	true	1865.43	1874.31	20
27_124992_000171_000000	8:20.	eight twenty.	false	1874.31	1875.15	-20
27_124992_000171_000001	Let us humbly wait for his consolation, and the Lord our God will require our blood of the afflictions of our enemies, and he will humble all the nations that shall rise up against us, and bring them to disgrace.	Let us humbly wait for his consolation, and the Lord our God will require our blood of the afflictions of our enemies, and he will humble all the nations that shall rise up against us, and bring them to disgrace.	true	1875.15	1888.83	17
27_124992_000172_000000	8:21.	eight twenty one.	false	1888.83	1890.15	-20
27_124992_000172_000001	And now, brethren, as you are the ancients among the people of God, and their very soul resteth upon you: comfort their hearts by your speech, that they may be mindful how our fathers were tempted that they might be proved, whether they worshipped their God truly.	And now, brethren, as you are the ancients among the people of God, and their very soul resteth upon you: comfort their hearts by your speech, that they may be mindful how our fathers were tempted that they might be proved, whether they worshipped their God truly.	true	1890.15	1907.07	21.100477
27_124992_000173_000000	8:22.	eight twenty two.	false	1907.07	1907.81	-20
27_124992_000173_000001	They must remember how our father Abraham was tempted, and being proved by many tribulations, was made the friend of God.	They must remember how our father Abraham was tempted, and being proved by many tribulations, was made the friend of God.	true	1907.81	1915.86	18
27_124992_000174_000000	8:23.	eight twenty three.	false	1915.86	1916.55	-20
27_124992_000174_000001	So Isaac, so Jacob, so Moses, and all that have pleased God, passed through many tribulations, remaining faithful.	So Isaac, so Jacob, so Moses, and all that have pleased God, passed through many tribulations, remaining faithful.	true	1916.55	1925.13	21
27_124992_000175_000000	8:24.	eight twenty four.	false	1925.13	1925.82	-20
27_124992_000175_000001	But they that did not receive the trials with the fear of the Lord, but uttered their impatience and the reproach of their murmuring against the Lord,	But they that did not receive the trials with the fear of the Lord, but uttered their impatience and the reproach of their murmuring against the Lord,	true	1925.82	1934.73	17
27_124992_000176_000000	8:25.	eight twenty five.	false	1934.73	1935	-20
27_124992_000176_000001	Were destroyed by the destroyer, and perished by serpents.	Were destroyed by the destroyer, and perished by serpents.	true	1935	1938.69	18
27_124992_000177_000000	8:26.	eight twenty six.	false	1938.69	1939.32	-20
27_124992_000177_000001	As for us therefore let us not revenge ourselves for these things which we suffer.	As for us therefore let us not revenge ourselves for these things which we suffer.	true	1939.32	1945.26	19
27_124992_000178_000000	8:27.	eight twenty seven.	false	1945.26	1945.68	-20
27_124992_000178_000001	But esteeming these very punishments to be less than our sins deserve, let us believe that these scourges of the Lord, with which like servants we are chastised, have happened for our amendment, and not for our destruction.	But esteeming these very punishments to be less than our sins deserve, let us believe that these scourges of the Lord, with which like servants we are chastised, have happened for our amendment, and not for our destruction.	true	1945.68	1960.44	20.628656
27_124992_000179_000000	8:28.	eight twenty eight.	false	1960.44	1961.71	-20
27_124992_000179_000001	And Ozias and the ancients said to her: All things which thou hast spoken are true, and there is nothing to be reprehended in thy words.	And Ozias and the ancients said to her: All things which thou hast spoken are true, and there is nothing to be reprehended in thy words.	false	1961.71	1970.76	19.912758
27_124992_000180_000000	8:29.	eight twenty nine.	false	1970.76	1971.53	-20
